Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 52.75    692.87   692.87     1344     0.52     0.59  spr_spread
 12.63    858.76   165.89     1344     0.12     0.24  delta_phase2
  8.66    972.55   113.79     1348     0.08     0.10  stats_compute_stats
  6.72   1060.75    88.20 2619426100     0.00     0.00  util_count_neighbors
  5.86   1137.76    77.01     6848     0.01     0.01  util_condition_gif
  3.33   1181.54    43.77 46005084533     0.00     0.00  igrid_GetNumCols
  2.58   1215.44    33.90 6338920924     0.00     0.00  igrid_GetNumRows
  1.86   1239.88    24.44 4129874318     0.00     0.00  ran_random
  1.86   1264.27    24.39     1347     0.02     0.02  util_count_pixels
  0.60   1272.10     7.83     1344     0.01     0.25  delta_deltatron
  0.58   1279.78     7.68     1408     0.01     0.01  util_init_grid
  0.44   1285.62     5.84 962828562     0.00     0.00  util_get_neighbor
  0.30   1289.56     3.94 2394137413     0.00     0.00  mem_GetTotalPixels
  0.29   1293.42     3.86                             mem_GetPackedBytesPerGrid
  0.26   1296.84     3.42 47817727     0.00     0.00  spr_urbanize
  0.23   1299.85     3.01     1344     0.00     0.10  stats_Update
  0.18   1302.22     2.37       25     0.09     0.09  igrid_GetIGridCount
  0.14   1304.09     1.87       32     0.06    40.71  drv_driver
  0.12   1305.64     1.55 188872425     0.00     0.00  gdImageGetPixel
  0.10   1307.00     1.36       64     0.02    20.31  grw_grow
  0.09   1308.23     1.23  1003761     0.00     0.00  util_get_next_neighbor
  0.07   1309.10     0.87       36     0.02     0.07  gdImageGif
  0.06   1309.86     0.76       32     0.02     0.10  gdif_WriteGIF
  0.05   1310.48     0.62       32     0.02     0.02  util_img_intersection
  0.03   1310.90     0.42 47906737     0.00     0.00  gdImageSetPixel
  0.03   1311.30     0.40       11     0.04     0.20  gdif_ReadGIF
  0.02   1311.62     0.32 140968836     0.00     0.00  GIFNextPixel
  0.02   1311.94     0.32 47903647     0.00     0.00  LWZReadByte
  0.02   1312.20     0.26 236779162     0.00     0.00  gdImageBoundsSafe
  0.02   1312.42     0.22       11     0.02     0.02  grid_SetMinMax
  0.01   1312.59     0.17       11     0.02     0.02  grid_histogram
  0.01   1312.73     0.14 276575092     0.00     0.00  landclass_GetNumLandclasses
  0.01   1312.87     0.14     1344     0.00     0.00  landclass_GetUrbanCode
  0.01   1312.98     0.11       11     0.01     0.01  gdImageColorTransparent
  0.01   1313.08     0.10  2518350     0.00     0.00  GetCode
  0.01   1313.16     0.08       11     0.01     0.09  ReadImage
  0.00   1313.22     0.06        1     0.06     0.06  igrid_NormalizeRoads
  0.00   1313.27     0.05        1     0.05     0.07  trans_Init
  0.00   1313.31     0.04 28682068     0.00     0.00  landclass_GetNumReducedclasses
  0.00   1313.34     0.03  3087241     0.00     0.00  output
  0.00   1313.36     0.03 30390258     0.00     0.00  stats_IncrementZFailure
  0.00   1313.38     0.02 11472948     0.00     0.00  stats_IncrementUrbanSuccess
  0.00   1313.40     0.02  4343149     0.00     0.00  char_out
  0.00   1313.42     0.02        1     0.02     1.25  mem_Init
  0.00   1313.43     0.01  3868007     0.00     0.00  stats_IncrementSlopeFailure
  0.00   1313.44     0.01   661961     0.00     0.00  spr_urbanize_nghbr
  0.00   1313.45     0.01     1344     0.00     0.00  scen_GetCriticalHigh
  0.00   1313.46     0.01      823     0.00     0.00  cl_hash
  0.00   1313.47     0.01        4     0.00     0.07  gdif_WriteColorKey
  0.00   1313.48     0.01  1680432     0.00     0.00  stats_IncrementDeltaFailure
  0.00   1313.48     0.01   406082     0.00     0.00  stats_IncrementEcludedFailure
  0.00   1313.49     0.01    13943     0.00     0.00  GetDataBlock
  0.00   1313.49     0.01       64     0.00     0.00  stats_InitUrbanizationAttempts
  0.00   1313.49     0.00   729792     0.00     0.00  scen_GetCriticalSlope
  0.00   1313.49     0.00    17118     0.00     0.00  flush_char
  0.00   1313.49     0.00    14232     0.00     0.00  proc_GetCurrentYear
  0.00   1313.49     0.00     9771     0.00     0.00  igrid_GridRelease
  0.00   1313.49     0.00     9580     0.00     0.00  timer_Start
  0.00   1313.49     0.00     9580     0.00     0.00  timer_Stop
  0.00   1313.49     0.00     9216     0.00     0.00  gdImageColorAllocate
  0.00   1313.49     0.00     8074     0.00     0.00  mem_wgrid_push
  0.00   1313.49     0.00     8072     0.00     0.00  mem_GetWGridFree
  0.00   1313.49     0.00     8072     0.00     0.00  mem_GetWGridPtr
  0.00   1313.49     0.00     5003     0.00     0.00  proc_GetProcessingType
  0.00   1313.49     0.00     4696     0.00     0.00  proc_GetCurrentRun
  0.00   1313.49     0.00     4037     0.00     0.00  igrid_GetSlopeGridPtr
  0.00   1313.49     0.00     4032     0.00     0.00  coeff_GetCurrentSlopeResist
  0.00   1313.49     0.00     4032     0.00     0.00  util_copy_grid
  0.00   1313.49     0.00     3004     0.00     0.00  scen_GetLogFlag
  0.00   1313.49     0.00     2912     0.00     0.00  pgrid_GetZPtr
  0.00   1313.49     0.00     2816     0.00     0.00  proc_GetStopYear
  0.00   1313.49     0.00     2688     0.00     0.00  coeff_GetCurrentBreed
  0.00   1313.49     0.00     2688     0.00     0.00  coeff_GetCurrentDiffusion
  0.00   1313.49     0.00     2688     0.00     0.00  coeff_GetCurrentRoadGravity
