Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 64.79    833.71   833.71     1344     0.62     0.71  spr_spread
  7.09    924.96    91.25     6848     0.01     0.01  util_condition_gif
  5.53    996.16    71.19     1348     0.05     0.06  stats_compute_stats
  5.08   1061.57    65.41     1344     0.05     0.14  delta_phase2
  3.44   1105.80    44.23 46005069266     0.00     0.00  igrid_GetNumCols
  3.43   1149.99    44.19 2619426100     0.00     0.00  util_count_neighbors
  3.01   1188.70    38.70 6338911203     0.00     0.00  igrid_GetNumRows
  2.30   1218.30    29.60     1347     0.02     0.02  util_count_pixels
  1.87   1242.42    24.12 4129874318     0.00     0.00  ran_random
  0.57   1249.71     7.29     1408     0.01     0.01  util_init_grid
  0.45   1255.56     5.85 962828562     0.00     0.00  util_get_neighbor
  0.42   1261.01     5.45     1344     0.00     0.14  delta_deltatron
  0.31   1265.06     4.05 2394137413     0.00     0.00  mem_GetTotalPixels
  0.28   1268.62     3.56                             mem_GetPackedBytesPerGrid
  0.23   1271.63     3.01 47817727     0.00     0.00  spr_urbanize
  0.23   1274.56     2.93       25     0.12     0.12  igrid_GetIGridCount
  0.14   1276.41     1.85     1344     0.00     0.07  stats_Update
  0.14   1278.21     1.80       32     0.06    39.88  drv_driver
  0.11   1279.68     1.47       64     0.02    19.90  grw_grow
  0.07   1280.60     0.92 188872425     0.00     0.00  gdImageGetPixel
  0.07   1281.49     0.89  1003761     0.00     0.00  util_get_next_neighbor
  0.06   1282.28     0.79       36     0.02     0.06  gdImageGif
  0.05   1282.97     0.69       32     0.02     0.02  util_img_intersection
  0.04   1283.50     0.53       32     0.02     0.08  gdif_WriteGIF
  0.04   1284.01     0.51 47906737     0.00     0.00  gdImageSetPixel
  0.03   1284.39     0.38 140968836     0.00     0.00  GIFNextPixel
  0.03   1284.72     0.33 236779162     0.00     0.00  gdImageBoundsSafe
  0.02   1285.03     0.31       11     0.03     0.20  gdif_ReadGIF
  0.02   1285.33     0.30 47903647     0.00     0.00  LWZReadByte
  0.02   1285.58     0.25 276575092     0.00     0.00  landclass_GetNumLandclasses
  0.02   1285.80     0.22       11     0.02     0.02  grid_SetMinMax
  0.01   1285.99     0.19       11     0.02     0.02  grid_histogram
  0.01   1286.15     0.16        1     0.16     0.18  trans_Init
  0.01   1286.30     0.15     1344     0.00     0.00  landclass_GetUrbanCode
  0.01   1286.42     0.12  2518350     0.00     0.00  GetCode
  0.01   1286.53     0.11       11     0.01     0.10  ReadImage
  0.01   1286.63     0.10       11     0.01     0.01  gdImageColorTransparent
  0.00   1286.68     0.05        1     0.05     0.05  igrid_NormalizeRoads
  0.00   1286.73     0.05     4032     0.00     0.00  util_copy_grid
  0.00   1286.77     0.04   680656     0.00     0.00  spr_urbanize_nghbr
  0.00   1286.79     0.02 28682068     0.00     0.00  landclass_GetNumReducedclasses
  0.00   1286.81     0.02        1     0.02     1.54  mem_Init
  0.00   1286.83     0.02                             gdImageFill
  0.00   1286.84     0.02 30390258     0.00     0.00  stats_IncrementZFailure
  0.00   1286.86     0.02 11472948     0.00     0.00  stats_IncrementUrbanSuccess
