Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
 61.27    676.08   676.08     1344     0.00     0.00  spr_spread
  6.93    752.51    76.42     6848     0.00     0.00  util_condition_gif
  6.48    824.05    71.54     1348     0.00     0.00  stats_compute_stats
  5.89    889.01    64.96     1344     0.00     0.00  delta_phase2
  4.07    933.92    44.91 46005084533     0.00     0.00  igrid_GetNumCols
  3.64    974.07    40.14 2619426100     0.00     0.00  util_count_neighbors
  3.41   1011.66    37.59 6338920924     0.00     0.00  igrid_GetNumRows
  2.19   1035.80    24.14     1347     0.00     0.00  util_count_pixels
  2.15   1059.54    23.74 4129874318     0.00     0.00  ran_random
  0.73   1067.59     8.05     1408     0.00     0.00  util_init_grid
  0.50   1073.13     5.54 962828562     0.00     0.00  util_get_neighbor
  0.48   1078.39     5.26     1344     0.00     0.00  delta_deltatron
  0.38   1082.59     4.20 2394137413     0.00     0.00  mem_GetTotalPixels
  0.33   1086.21     3.62                             mem_GetPackedBytesPerGrid
  0.24   1088.82     2.61 47817727     0.00     0.00  spr_urbanize
  0.19   1090.91     2.09       25     0.00     0.00  igrid_GetIGridCount
  0.17   1092.80     1.89       32     0.00     0.03  drv_driver
  0.17   1094.66     1.86     1344     0.00     0.00  stats_Update
  0.13   1096.13     1.47       64     0.00     0.02  grw_grow
  0.10   1097.26     1.13 188872425     0.00     0.00  gdImageGetPixel
  0.10   1098.36     1.10  1003761     0.00     0.00  util_get_next_neighbor
  0.06   1099.06     0.70       32     0.00     0.00  util_img_intersection
  0.06   1099.72     0.66       36     0.00     0.00  gdImageGif
  0.04   1100.17     0.45 47906737     0.00     0.00  gdImageSetPixel
  0.04   1100.57     0.40 47903647     0.00     0.00  LWZReadByte
  0.03   1100.95     0.38       11     0.00     0.00  gdif_ReadGIF
  0.03   1101.32     0.37       32     0.00     0.00  gdif_WriteGIF
  0.03   1101.62     0.30 140968836     0.00     0.00  GIFNextPixel
  0.02   1101.89     0.27 236779162     0.00     0.00  gdImageBoundsSafe
  0.02   1102.14     0.25       11     0.00     0.00  grid_SetMinMax
  0.02   1102.36     0.22     1344     0.00     0.00  landclass_GetUrbanCode
  0.02   1102.53     0.17       11     0.00     0.00  gdImageColorTransparent
  0.02   1102.70     0.17       11     0.00     0.00  grid_histogram
  0.01   1102.84     0.14 276575092     0.00     0.00  landclass_GetNumLandclasses
  0.01   1102.96     0.12       11     0.00     0.00  ReadImage
  0.01   1103.08     0.12        1     0.00     0.00  trans_Init
  0.01   1103.14     0.06  2518350     0.00     0.00  GetCode
  0.01   1103.20     0.06        1     0.00     0.00  igrid_NormalizeRoads
  0.01   1103.26     0.06                             gdImageFill
