run	year	index	sng	sdg	sdc	og	rt	pop	area	edges	 clusters	    xmean	    ymean	rad    	slope  	cl_size   	diffus   	spread    	breed  	slp_res  	rd_grav  	 %urban    	%road	grw_rate	leesalee	grw_pix
0	2011	0	203.92	168.43	0	43690.36	24.32	2320502.03	2320502.03	385964.32	72377.51	765.11	1256.39	859.44	210.02	31.09	60	60	45	80	80	57.65	0	1.9	0	44087.03
0	2012	0	207.23	172.07	0	47238.41	24.39	2368144.13	2368144.13	406217.63	69275.63	765.44	1260	868.22	205.85	33.86	60.6	60.6	45.45	74.24	80.58	58.81	0	2.01	0	47642.1
0	2013	0	202.89	165.47	0	50616.3	22.21	2419151	2419151	424475.55	65793.19	765.78	1263.72	877.52	201.57	36	61.21	61.21	45.9	68.35	81.16	60.05	0	2.11	0	51006.87
0	2014	0	201.88	169.46	0	52977.7	19.72	2472519.76	2472519.76	439946.25	62110.98	766.12	1267.44	887.15	197.28	39	61.82	61.82	46.36	62.35	81.77	61.35	0	2.16	0	53368.76
0	2015	0	201.56	168.15	0	55870.4	18.35	2528778.22	2528778.22	452533.21	58349.94	766.47	1271.14	897.18	192.95	42.95	62.44	62.44	46.83	56.21	82.38	62.72	0	2.22	0	56258.46
0	2016	0	198.66	169.68	0	58350.23	17.26	2587514.05	2587514.05	461892.7	54604.19	766.82	1274.81	907.54	188.63	46.94	63.06	63.06	47.3	49.94	83.01	64.15	0	2.27	0	58735.83
0	2017	0	192.03	163.62	0	59646.5	16.49	2647532.69	2647532.69	467859.4	50976.16	767.16	1278.34	918.01	184.42	51.08	63.69	63.69	47.77	43.53	83.65	65.61	0	2.27	0	60018.64
0	2018	0	187.2	161.48	0	61474.1	16.71	2709372.18	2709372.18	470615.62	47464.87	767.49	1281.76	928.67	180.27	56.32	64.33	64.33	48.25	36.97	84.3	67.12	0	2.28	0	61839.49
0	2019	0	185.63	160.71	0	62068.88	14.45	2771801.85	2771801.85	470288.05	44141.36	767.8	1285	939.3	176.28	62.03	64.97	64.97	48.73	30.25	84.97	68.64	0	2.25	0	62429.67
0	2020	0	182.9	161.01	0	63120.71	12.22	2835278.69	2835278.69	467147.17	40961.53	768.1	1288.08	950	172.39	68.45	65.62	65.62	49.22	23.39	85.66	70.19	0	2.24	0	63476.84
0	2021	0	175.39	154.07	0	63903.51	11.62	2899523.28	2899523.28	461301.75	37939.12	768.35	1291.01	960.7	168.63	75.72	66.28	66.28	49.71	16.37	86.36	71.76	0	2.22	0	64244.59
0	2022	0	172.51	155.48	0	63400.47	10.96	2963262.7	2963262.7	453141.29	35137.16	768.58	1293.74	971.2	165.07	83.55	66.94	66.94	50.21	9.2	87.08	73.31	0	2.15	0	63739.42
0	2023	0	168.19	152.49	0	63501.58	11	3027095.96	3027095.96	442810.06	32462.22	768.75	1296.31	981.61	161.64	92.49	67.61	67.61	50.71	1.86	87.81	74.86	0	2.11	0	63833.26
0	2024	0	158.46	143.78	0	62338.81	10.08	3089747.09	3089747.09	430702.67	29983.09	768.89	1298.69	991.71	158.42	102.23	68.29	68.29	51.21	1	88.56	76.39	0	2.03	0	62651.13
0	2025	0	150.74	136.36	0	59964.16	8.72	3150007.07	3150007.07	417405.67	27753.08	768.98	1300.87	1001.34	155.44	112.69	68.97	68.97	51.73	1	89.33	77.86	0	1.91	0	60259.98
0	2026	0	143.74	131.77	0	58266.47	8.74	3208557.79	3208557.79	403106.98	25666.05	769.04	1302.89	1010.6	152.66	124.19	69.66	69.66	52.24	1	90.1	79.29	0	1.82	0	58550.72
0	2027	0	137.95	127.79	0	56402.06	7.96	3265233.55	3265233.55	388008.51	23752.81	769.05	1304.75	1019.49	150.06	136.58	70.35	70.35	52.77	1	90.9	80.67	0	1.74	0	56675.76
0	2028	0	128.34	120.59	0	54466.03	6.69	3319955.2	3319955.2	372300.45	21963.37	769.02	1306.48	1028	147.63	150.28	71.06	71.06	53.29	1	91.7	82	0	1.65	0	54721.65
0	2029	0	121.26	113.15	0	51733.85	5.82	3371929.28	3371929.28	356529.34	20334.13	768.96	1308.06	1036.01	145.39	164.94	71.77	71.77	53.83	1	92.52	83.27	0	1.54	0	51974.08
0	2030	0	114.07	108.87	0	49618.2	5.32	3421775.74	3421775.74	340500.6	18838.63	768.86	1309.51	1043.64	143.31	180.69	72.49	72.49	54.36	1	93.36	84.48	0	1.46	0	49846.46
